indicador,competencia,pais_referencia,valor,unidad,fuente
Nivel 5-6,Lectura,Colombia,1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Lectura,Brasil,1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Lectura,México,<1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Lectura,Perú,<1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Matemática,OCDE,8,%,OECD PISA 2025 Country Notes
Nivel 5-6,Matemática,Uruguay,1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Matemática,Chile,<1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Matemática,México,<1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Matemática,Colombia,<1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Matemática,Brasil,<1,%,OECD PISA 2025 Country Notes
Nivel 5-6,Matemática,Perú,<1,%,OECD PISA 2025 Country Notes
