competencia,en_nivel_2_pct,alcanza_o_supera_nivel_2_pct,ocde_alcanza_o_supera_nivel_2_pct,fuente
Ciencia,30.6323,47.4824,74,Minedu brochure / OECD Country Note Peru 2025
Lectura,26.0223,41.8259,69,Minedu brochure / OECD Country Note Peru 2025
Matemática,19.689,30.4771,65,Minedu brochure / OECD Country Note Peru 2025
